   3.2000000e-01   1.6000000e+00
   2.8300000e+00   5.3000000e+00
   3.9400000e+00   1.1880000e+01
   6.5200000e+00   1.5280000e+01
   7.5100000e+00   1.8190000e+01
   1.1430000e+01   3.2550000e+01
   9.6000000e-01   1.2300000e+00
   3.3200000e+00   3.2000000e-01
   4.6200000e+00   8.0300000e+00
   6.6500000e+00   1.6470000e+01
   8.9600000e+00   1.6250000e+01
   1.1450000e+01   3.7300000e+01
   9.6000000e-01   4.8000000e-01
   3.8000000e+00   6.0000000e-02
   5.9100000e+00   9.9100000e+00
   6.8300000e+00   1.4960000e+01
   9.5600000e+00   2.1820000e+01
   1.2020000e+01   3.3190000e+01
