   1.0000000e+00   1.6500000e+02   1.3000000e+02
   2.0000000e+00   1.6700000e+02   1.3300000e+02
   3.0000000e+00   1.8000000e+02   1.5000000e+02
   4.0000000e+00   1.5500000e+02   1.2800000e+02
   5.0000000e+00   2.1200000e+02   1.5100000e+02
   6.0000000e+00   1.7500000e+02   1.4600000e+02
   7.0000000e+00   1.9000000e+02   1.5000000e+02
   8.0000000e+00   2.1000000e+02   1.4000000e+02
   9.0000000e+00   2.0000000e+02   1.4800000e+02
   1.0000000e+01   1.4900000e+02   1.2500000e+02
   1.1000000e+01   1.5800000e+02   1.3300000e+02
   1.2000000e+01   1.6900000e+02   1.3500000e+02
   1.3000000e+01   1.7000000e+02   1.5000000e+02
   1.4000000e+01   1.7200000e+02   1.5300000e+02
   1.5000000e+01   1.5900000e+02   1.2800000e+02
   1.6000000e+01   1.6800000e+02   1.3200000e+02
   1.7000000e+01   1.7400000e+02   1.4900000e+02
   1.8000000e+01   1.8300000e+02   1.5800000e+02
   1.9000000e+01   2.1500000e+02   1.5000000e+02
   2.0000000e+01   1.9500000e+02   1.6300000e+02
   2.1000000e+01   1.8000000e+02   1.5600000e+02
   2.2000000e+01   1.4300000e+02   1.2400000e+02
   2.3000000e+01   2.4000000e+02   1.7000000e+02
   2.4000000e+01   2.3500000e+02   1.6500000e+02
   2.5000000e+01   1.9200000e+02   1.6000000e+02
   2.6000000e+01   1.8700000e+02   1.5900000e+02
